hood_id,name,geometry
82,Ukrainian Village,"list(c(-87.68701265, -87.67729844, -87.67704962, -87.68692457, -87.68701265, 41.90305115, 41.90323792, 41.89592041, 41.89573456, 41.90305115))"
83,Noble Square,"list(c(-87.65835221, -87.66725492, -87.66759099, -87.66443368, -87.66218889, -87.66067519, -87.66038764, -87.66065201, -87.65962346, -87.65835221, 41.89623527, 41.89616633, 41.91055859, 41.9106007, 41.90853185, 41.90622538, 41.90277728, 41.90072307, 41.89847989, 41.89623527))"
84,Wicker Park,"list(c(-87.68718229, -87.66775224, -87.66742357, -87.68701326, -87.68718229, 41.91030772, 41.91061998, 41.903302, 41.90299069, 41.91030772))"
85,Bucktown,"list(c(-87.68760612, -87.67596724, -87.66985941, -87.6666392, -87.66456455, -87.68720679, -87.68760612, 41.9277437, 41.92108492, 41.91789674, 41.91386511, 41.91041336, 41.91025635, 41.9277437))"
86,Logan Square,"list(c(-87.74690533, -87.7077768, -87.68778191, -87.68717644, -87.7459991, -87.74690533, 41.93878267, 41.93927722, 41.92789107, 41.91036099, 41.90962533, 41.93878267))"
87,Palmer Square,"list(c(-87.6885895, -87.70689576, -87.70729311, -87.70048688, -87.6885895, 41.9176133, 41.9173641, 41.92472747, 41.92474858, 41.9176133))"
88,Ranch Triangle,"list(c(-87.64859965, -87.64833133, -87.65432405, -87.66036323, -87.65805735, -87.65804828, -87.64859965, 41.91816095, 41.91093121, 41.91070865, 41.91702581, 41.91718437, 41.91804481, 41.91816095))"
89,Sheffield Neighborhood,"list(c(-87.66324241, -87.6648328, -87.66675909, -87.66594901, -87.66580869, -87.64875097, -87.64848445, -87.65816349, -87.65817256, -87.66013192, -87.66324241, 41.9171287, 41.9192892, 41.92239817, 41.92273767, 41.92514623, 41.92556209, 41.91816027, 41.91804549, 41.91718505, 41.9171105, 41.9171287))"
90,Wrightwood Neighbors,"list(c(-87.66596379, -87.64902122, -87.64886527, -87.66592391, -87.66596379, 41.93237526, 41.93261973, 41.92564882, 41.9251469, 41.93237526))"
91,West DePaul,"list(c(-87.67829528, -87.67310811, -87.66619336, -87.66603912, -87.66822916, -87.6682372, -87.67829528, 41.93227418, 41.93241656, 41.93246264, 41.92514757, 41.92507423, 41.92429983, 41.93227418))"
92,Park West,"list(c(-87.63933811, -87.63941645, -87.64886527, -87.64890599, -87.63933811, 41.93290581, 41.92567816, 41.92564882, 41.93261904, 41.93290581))"
93,Lincoln Park,"list(c(-87.63638328, -87.64372273, -87.64833133, -87.64875005, -87.63665121, -87.63638328, 41.9185177, 41.91098967, 41.91093121, 41.92564813, 41.92566141, 41.9185177))"
94,Old Town Triangle,"list(c(-87.63638328, -87.63151053, -87.64337623, -87.63638328, 41.9185177, 41.91108778, 41.91107364, 41.9185177))"
95,Old Town,"list(c(-87.64360662, -87.63162573, -87.63135934, -87.64022997, -87.64003406, -87.64302856, -87.64360662, 41.91107502, 41.91108848, 41.9038587, 41.90374049, 41.90055548, 41.90057352, 41.91107502))"
96,Cabrini Green,"list(c(-87.64314466, -87.64003406, -87.64007873, -87.64307304, -87.64314466, 41.90048816, 41.90055548, 41.89642537, 41.8964434, 41.90048816))"
97,Magnificent Mile,"list(c(-87.62541833, -87.62554414, -87.62266683, -87.62277079, -87.62541833, 41.88902171, 41.89848794, 41.89829807, 41.8889193, 41.88902171))"
